# Insertion Sort. Time expressed in microseconds
#     Size        Worst         Best      Average
#------------------------------------------------
      1000       21.936        6.048       23.657
      2000        8.635        2.758        5.847
      3000       17.932        4.067       10.808
      4000       29.381        5.874       20.660
      5000       44.180        7.082       26.116
      6000       61.876        8.102       34.838
      7000       81.243        9.517       46.926
      8000      105.377       11.051       61.726
      9000      133.597       12.564       72.383
     10000      164.319       13.528       87.932
