# Linear Search. Time expressed in microseconds
#     Size        Worst         Best      Average
#------------------------------------------------
     10000        2.425        0.065        1.413
     20000        5.039        0.065        3.799
     30000        7.834        0.065        5.626
     40000       10.263        0.066        7.436
     50000       13.030        0.064        9.438
     60000       15.575        0.063       10.987
     70000       18.080        0.067       13.083
     80000       20.982        0.067       14.965
     90000       23.896        0.064       16.655
    100000       26.688        0.064       18.689
