# Linear Search. Time expressed in microseconds
#     Size        Worst         Best      Average
#------------------------------------------------
     10000        2.438        0.066        1.501
     20000        4.874        0.063        3.598
     30000        7.606        0.064        5.501
     40000       10.436        0.068        7.438
     50000       13.221        0.068        9.486
     60000       15.829        0.064       11.051
     70000       18.678        0.063       12.783
     80000       20.756        0.064       14.689
     90000       23.450        0.064       16.788
    100000       27.019        0.064       18.432
