# MergeSort. Time in microseconds
#     Size      Average
#----------------------
         1       11.266
         2       11.931
         4       13.416
         8       14.552
        16       15.697
        32       18.013
        64       23.190
       128       62.250
       256      104.967
       512      187.334
      1024      338.233
      2048      573.535
      4096      860.780
      8192     1577.320
     16384     3214.809
     32768     6697.607
     65536    13661.869
    131072    27067.979
    262144    49235.449
    524288    92154.239
