#----------------------------------------------
# Comparacion entre quickSort y mergeSort: 
# Tiempos en milisegs. Valores Integer.
#----------------------------------------------
#  Talla    mergeSort1   mergeSort2   quickSort
#----------------------------------------------
   10000       3.5878       2.4003       3.0947
   20000       7.2435       5.1881       4.1418
   30000      11.3923       7.9199       6.4686
   40000      15.4947      10.8616       8.8295
   50000      20.2397      14.3858      11.7559
   60000      26.5400      19.0192      15.2141
   70000      30.8817      22.1850      17.7614
   80000      39.6103      28.8114      22.3140
   90000      40.0819      29.1762      22.2407
  100000      48.2758      35.1518      27.3569
