#----------------------------------------------
# Comparacion entre quickSort y mergeSort: 
# Tiempos en milisegs. Valores CadenaADN.
#----------------------------------------------
#  Talla    mergeSort1   mergeSort2   quickSort
#----------------------------------------------
   10000      19.3618      15.1806      17.8844
   20000      36.2825      33.5760      38.4333
   30000      64.0468      61.3294      76.1675
   40000      90.4604      82.5992     102.4470
   50000     123.6315     121.5494     146.9893
   60000     147.5938     141.8219     170.7734
   70000     161.2180     153.3787     197.8003
   80000     186.5643     178.5015     222.5488
   90000     225.8403     214.6281     254.9520
  100000     250.6675     240.3768     294.1265
