# name: X 
# type: matrix
# rows: 1000 
# columns: 2
16.877569 3.355351
8.610890 12.125960
15.988446 12.127440
17.163584 10.796282
18.349380 6.152352
20.984823 20.903572
12.691703 13.908867
12.740224 6.220929
18.846355 20.222567
16.521002 2.754186
10.607424 16.489332
9.469901 23.481043
10.774662 26.844349
10.254398 25.596563
11.497568 13.166229
9.037722 3.593316
14.146081 23.466908
20.087353 15.809671
18.644085 11.150699
9.475530 12.479767
12.332362 2.387110
13.519282 22.902594
10.661661 5.050331
17.099504 7.867147
11.304325 16.529888
10.143028 11.475276
15.738016 2.055230
15.301294 10.305951
15.881123 8.689184
16.169819 15.251086
8.776750 11.829188
9.758833 24.014912
14.182921 2.908185
11.062962 4.010137
20.870949 20.172506
10.824802 25.643999
15.385372 4.832014
19.477894 12.418760
16.743937 14.943056
10.701170 22.827469
16.179373 24.702599
18.280317 26.946865
8.222373 4.194546
20.032400 19.618914
19.663523 4.235743
17.706915 2.123448
20.220282 5.150403
13.910130 24.974810
15.989140 19.174702
10.160958 17.999315
17.511929 26.223463
9.531090 4.584756
18.211737 22.116016
18.142860 2.827266
9.415745 6.390115
18.977644 9.448889
18.939404 12.662396
12.577536 17.962822
17.591139 11.457892
15.702947 2.725266
16.718645 19.116920
8.143861 23.956942
16.276230 6.174949
12.815061 3.692400
19.431021 7.543144
15.587201 17.966354
18.346430 5.544909
20.862207 13.846023
11.001300 26.398350
15.614587 10.209361
20.386156 19.490078
16.232248 26.087620
9.980406 22.397635
15.758770 13.571306
14.462700 25.522093
18.677919 6.371250
20.331463 9.251031
20.751844 16.450155
14.440338 24.219982
11.891278 11.447196
10.154035 3.577396
19.083742 9.823493
12.361520 5.066601
20.381411 9.107901
10.222123 3.215974
20.017466 13.819910
20.890192 7.539669
9.554041 26.605042
16.720041 9.686447
20.160446 8.331901
19.354343 12.827846
11.206981 3.212492
14.137994 6.883412
19.534981 22.936348
14.513888 23.751316
13.615463 4.451436
10.831414 16.184727
13.260915 13.069715
8.181907 15.812126
17.181906 5.292554
12.151212 12.654984
12.600968 23.097342
10.888138 15.814210
20.462931 14.976195
9.623943 13.005429
12.985814 13.208057
12.919254 6.147044
11.915689 13.531244
15.596197 5.005021
13.522503 6.405970
9.105347 6.837317
20.242504 15.701203
12.716930 4.181470
19.101929 14.878002
9.783453 25.842064
19.886362 13.272939
13.436456 3.021608
13.299367 17.185663
10.531693 6.245507
13.868000 4.285067
8.652564 22.217958
15.359014 5.822924
16.431561 23.821028
19.785872 8.395713
8.874922 14.410774
12.682424 13.165541
18.079983 4.834067
12.900905 11.047921
12.383960 11.902271
8.740069 15.302771
10.114020 14.822655
18.785250 8.616912
15.545514 17.397362
15.973567 2.912397
13.890244 26.624491
9.249652 17.299519
11.771358 6.387403
15.638770 6.718791
20.261843 8.613814
17.736555 22.453190
19.192860 23.849474
8.861945 14.028103
18.600409 24.740953
11.523459 22.510700
17.037933 18.945309
10.095937 25.181097
17.102291 21.239975
18.759291 3.324420
16.413645 23.080742
15.696616 9.014827
17.441727 14.021471
13.756125 12.821830
20.175598 26.301464
16.411936 13.584454
13.756373 15.451853
20.781178 10.540559
9.070812 4.824698
14.206049 24.136847
18.432610 6.048795
16.517988 25.137777
14.210515 2.147758
9.873216 13.011459
16.317743 5.291333
13.992053 24.753559
11.844931 24.522383
17.651093 22.324923
18.802603 21.565826
9.215759 2.135214
19.122528 23.079475
19.666222 19.929253
11.175978 2.118163
16.809170 10.255755
19.334410 15.757253
15.308461 5.964802
17.816082 3.686556
11.790972 12.432819
20.928831 10.412557
19.616196 20.023809
10.411284 6.173865
19.030972 12.804978
16.652617 14.694369
15.380073 9.744278
9.495475 14.823535
14.366511 15.222121
17.194855 4.376069
17.591373 24.906261
18.632217 9.475169
17.833143 21.159670
11.952259 25.670284
14.783881 12.144651
20.993204 10.569071
8.127660 26.949247
17.422575 24.320379
8.613400 2.748754
15.789335 13.921250
16.851324 23.543968
8.212205 25.094791
9.057285 17.603397
10.048077 3.208650
8.975510 11.169908
14.131273 26.185127
16.735912 6.674565
14.041012 12.079763
13.613099 24.363300
11.536540 11.882900
17.299635 12.378761
10.241300 5.313939
20.955980 3.351439
18.021999 14.116034
16.754656 16.115757
13.758124 6.550071
19.095631 8.439634
11.048025 16.470312
15.250446 25.532772
16.619743 5.517100
15.993793 9.601885
13.522017 22.085861
16.173016 18.918627
18.660732 17.641632
10.817830 12.785185
20.593315 21.675068
15.715344 15.172300
18.291578 14.309971
11.620655 22.533270
14.531079 16.908512
16.706924 18.915710
14.757228 6.149354
17.154490 24.975662
17.258034 4.672293
16.454119 3.300258
9.004572 24.288237
20.213354 4.993790
14.478730 17.941004
20.179138 20.418674
20.228125 25.773254
15.976716 16.415026
16.541859 4.481187
9.086419 16.740723
19.123280 7.149714
15.484100 13.711933
18.981724 21.175343
17.234177 26.395187
17.128761 9.187596
20.687721 14.925642
18.461931 8.372660
16.513308 5.815247
20.436363 18.343992
9.530821 16.870802
18.988626 20.690945
20.172739 24.973261
18.791063 25.637541
20.914736 12.599043
14.995675 14.609981
19.560003 13.484118
9.025639 23.022469
17.032051 6.181671
8.637753 4.437264
13.867517 11.634439
18.734982 9.035022
17.602205 21.025717
8.036385 15.852427
19.017927 23.890108
13.378508 16.904905
18.580252 26.666092
20.025339 13.126965
13.896248 3.432417
17.295889 24.378115
19.782423 5.170311
20.129366 16.716003
14.719727 22.244633
19.930550 2.828704
17.374319 5.238560
19.557316 4.738115
18.410797 3.808220
16.427744 13.296984
12.323290 6.767730
15.760466 9.859916
20.862497 10.574942
11.519907 4.151396
18.690868 21.856176
14.841529 13.064006
18.313131 2.583078
12.975504 16.521788
