# name: Y 
# type: matrix
# rows: 1000 
# columns: 2
17.803755 11.859573
16.661983 21.961000
19.232946 6.938784
6.555494 15.849249
8.295689 14.835023
20.044594 24.904877
4.133582 12.023610
11.258648 22.977806
13.751045 15.107180
10.871660 26.319376
6.850336 21.283941
11.534900 21.247847
6.666295 10.811459
4.844277 18.580673
5.765599 26.265854
19.044161 23.272995
11.632129 2.982009
6.685868 20.463358
9.802091 24.001881
17.584023 10.258428
8.007204 19.166748
14.684370 24.774302
3.953200 24.026554
13.391930 9.026485
9.940672 7.652666
4.750662 8.905867
12.128875 12.412532
10.908881 21.011881
20.695032 25.375099
14.688900 11.579708
15.995418 11.216589
6.883207 7.806538
12.689770 8.110318
4.282039 20.626785
2.869610 5.372560
11.404201 3.955804
12.466373 20.889521
2.038776 5.945178
20.999870 7.108215
18.799112 5.136712
12.877844 6.509307
4.262630 11.792256
12.588600 13.314396
14.747749 4.491002
11.616160 20.932346
7.085903 26.805712
12.539422 23.940344
15.956186 17.722748
1.708418 20.695072
18.465427 22.775940
20.588682 20.595280
19.067327 26.589893
4.279360 22.750296
18.778975 3.924867
13.994140 8.201103
15.012399 9.921678
7.575541 7.785699
2.483219 17.826805
6.600840 15.652672
10.429669 16.813498
9.690266 2.080786
17.664865 7.847293
7.942317 6.615562
13.182117 17.678947
15.808769 7.055319
19.418287 19.118914
14.062607 8.431637
11.648819 4.191091
6.209939 23.934599
14.722499 4.343506
16.515345 9.209485
7.592842 6.743775
20.687263 2.089464
17.547823 10.286977
16.297428 19.476885
8.676639 21.356836
18.238342 7.088705
16.873137 15.701051
10.962879 16.404989
10.273243 23.223555
4.608425 19.104462
15.551006 5.476455
13.062177 14.310543
17.762672 20.106300
4.564150 7.549139
10.970510 5.031470
7.496140 25.297382
19.169693 17.552385
10.921488 10.374292
8.886543 18.470779
7.627716 4.278714
9.546554 25.362366
12.671406 8.636533
17.598782 11.859709
18.951204 5.401865
16.665640 21.359655
6.873561 4.866695
18.310696 20.025145
1.983249 13.227628
20.729342 19.697727
5.217658 13.847349
7.035262 18.427998
2.030166 3.335557
12.572697 15.247480
13.194582 15.143678
5.673124 22.745207
2.401804 4.470936
10.634667 7.637273
7.885019 22.372717
5.007047 12.029691
5.619919 11.643706
11.656920 5.868094
8.604293 11.554179
6.208897 18.241474
12.046328 24.989773
14.956964 9.798762
13.917781 2.150119
11.659197 23.097740
4.057516 2.822316
2.271212 19.143045
15.006023 16.195778
1.022510 2.142729
7.104776 8.539258
14.107362 23.438881
4.623224 10.533862
14.346810 23.975237
