PCA   K dv-err
--- --- ------
  1   1 69.383
  1   2 73.633
  1   5 74.667
  1  10 76.050
  1  20 77.133
  1  50 76.850
  1 100 76.250
  2   1 55.517
  2   2 60.267
  2   5 60.917
  2  10 63.467
  2  20 67.183
  2  50 69.300
  2 100 67.683
  5   1 28.533
  5   2 28.083
  5   5 30.483
  5  10 31.250
  5  20 33.550
  5  50 36.200
  5 100 36.500
 10   1 12.267
 10   2 11.817
 10   5 10.567
 10  10 10.200
 10  20 10.933
 10  50  9.317
 10 100  9.900
 20   1  6.700
 20   2  6.100
 20   5  5.250
 20  10  4.417
 20  20  4.367
 20  50  4.183
 20 100  3.967
 50   1  5.683
 50   2  5.267
 50   5  4.533
 50  10  3.300
 50  20  3.350
 50  50  2.900 // ESTE
 50 100  3.383
100   1  5.617
100   2  5.283
100   5  4.283
100  10  3.367
100  20  3.433
100  50  3.517
100 100  3.383
