 alphas pca  ks dv-err
------- --- --- ------
1.0e-08   1   1 70.600
1.0e-08   1   2 72.717
1.0e-08   1   5 75.567
1.0e-08   1  10 79.133
1.0e-08   1  20 77.967
1.0e-08   1  50 76.700
1.0e-08   1 100 75.733
1.0e-08   2   1 72.717
1.0e-08   2   2 79.133
1.0e-08   2   5 76.700
1.0e-08   2  10 58.283
1.0e-08   2  20 59.267
1.0e-08   2  50 64.400
1.0e-08   2 100 64.167
1.0e-08   5   1 75.567
1.0e-08   5   2 76.700
1.0e-08   5   5 57.817
1.0e-08   5  10 64.400
1.0e-08   5  20 37.967
1.0e-08   5  50 30.633
1.0e-08   5 100 30.550
1.0e-08  10   1 79.133
1.0e-08  10   2 58.283
1.0e-08  10   5 64.400
1.0e-08  10  10 34.433
1.0e-08  10  20 30.417
1.0e-08  10  50 17.033
1.0e-08  10 100 10.117
1.0e-08  20   1 77.967
1.0e-08  20   2 59.267
1.0e-08  20   5 37.967
1.0e-08  20  10 30.417
1.0e-08  20  20 14.050
1.0e-08  20  50 16.083
1.0e-08  20 100  5.633
1.0e-08  50   1 76.700
1.0e-08  50   2 64.400
1.0e-08  50   5 30.633
1.0e-08  50  10 17.033
1.0e-08  50  20 16.083
1.0e-08  50  50 19.083
1.0e-08  50 100  4.300
1.0e-08 100   1 75.733
1.0e-08 100   2 64.167
1.0e-08 100   5 30.550
1.0e-08 100  10 10.117
1.0e-08 100  20  5.633
1.0e-08 100  50  4.300
1.0e-08 100 100  4.617
1.0e-07   1   1 72.717
1.0e-07   1   2 79.133
1.0e-07   1   5 76.700
1.0e-07   1  10 58.283
1.0e-07   1  20 59.267
1.0e-07   1  50 64.400
1.0e-07   1 100 64.167
1.0e-07   2   1 79.133
1.0e-07   2   2 58.283
1.0e-07   2   5 64.400
1.0e-07   2  10 34.433
1.0e-07   2  20 30.417
1.0e-07   2  50 17.033
1.0e-07   2 100 10.117
1.0e-07   5   1 76.700
1.0e-07   5   2 64.400
1.0e-07   5   5 30.633
1.0e-07   5  10 17.033
1.0e-07   5  20 16.083
1.0e-07   5  50 19.083
1.0e-07   5 100  4.300
1.0e-07  10   1 58.283
1.0e-07  10   2 34.433
1.0e-07  10   5 17.033
1.0e-07  10  10  9.483
1.0e-07  10  20  6.267
1.0e-07  10  50  4.917
1.0e-07  10 100 75.733
1.0e-07  20   1 59.267
1.0e-07  20   2 30.417
1.0e-07  20   5 16.083
1.0e-07  20  10  6.267
1.0e-07  20  20 70.600
1.0e-07  20  50 61.800
1.0e-07  20 100 30.583
1.0e-07  50   1 64.400
1.0e-07  50   2 17.033
1.0e-07  50   5 19.083
1.0e-07  50  10  4.917
1.0e-07  50  20 61.800
1.0e-07  50  50 20.167
1.0e-07  50 100  5.800
1.0e-07 100   1 64.167
1.0e-07 100   2 10.117
1.0e-07 100   5  4.300
1.0e-07 100  10 75.733
1.0e-07 100  20 30.583
1.0e-07 100  50  5.800
1.0e-07 100 100  4.350
1.0e-06   1   1 75.567
1.0e-06   1   2 76.700
1.0e-06   1   5 57.817
1.0e-06   1  10 64.400
1.0e-06   1  20 37.967
1.0e-06   1  50 30.633
1.0e-06   1 100 30.550
1.0e-06   2   1 76.700
1.0e-06   2   2 64.400
1.0e-06   2   5 30.633
1.0e-06   2  10 17.033
1.0e-06   2  20 16.083
1.0e-06   2  50 19.083
1.0e-06   2 100  4.300
1.0e-06   5   1 57.817
1.0e-06   5   2 30.633
1.0e-06   5   5 10.783
1.0e-06   5  10 19.083
1.0e-06   5  20 10.483
1.0e-06   5  50 77.950
1.0e-06   5 100 64.083
1.0e-06  10   1 64.400
1.0e-06  10   2 17.033
1.0e-06  10   5 19.083
1.0e-06  10  10  4.917
1.0e-06  10  20 61.800
1.0e-06  10  50 20.167
1.0e-06  10 100  5.800
1.0e-06  20   1 37.967
1.0e-06  20   2 16.083
1.0e-06  20   5 10.483
1.0e-06  20  10 61.800
1.0e-06  20  20 12.633
1.0e-06  20  50  5.017
1.0e-06  20 100 75.650
1.0e-06  50   1 30.633
1.0e-06  50   2 19.083
1.0e-06  50   5 77.950
1.0e-06  50  10 20.167
1.0e-06  50  20  5.017
1.0e-06  50  50 59.233
1.0e-06  50 100  9.750
1.0e-06 100   1 30.550
1.0e-06 100   2  4.300
1.0e-06 100   5 64.083
1.0e-06 100  10  5.800
1.0e-06 100  20 75.650
1.0e-06 100  50  9.750
1.0e-06 100 100  3.833
1.0e-05   1   1 79.133
1.0e-05   1   2 58.283
1.0e-05   1   5 64.400
1.0e-05   1  10 34.433
1.0e-05   1  20 30.417
1.0e-05   1  50 17.033
1.0e-05   1 100 10.117
1.0e-05   2   1 58.283
1.0e-05   2   2 34.433
1.0e-05   2   5 17.033
1.0e-05   2  10  9.483
1.0e-05   2  20  6.267
1.0e-05   2  50  4.917
1.0e-05   2 100 75.733
1.0e-05   5   1 64.400
1.0e-05   5   2 17.033
1.0e-05   5   5 19.083
1.0e-05   5  10  4.917
1.0e-05   5  20 61.800
1.0e-05   5  50 20.167
1.0e-05   5 100  5.800
1.0e-05  10   1 34.433
1.0e-05  10   2  9.483
1.0e-05  10   5  4.917
1.0e-05  10  10 37.717
1.0e-05  10  20 11.383
1.0e-05  10  50  6.383
1.0e-05  10 100 63.533
1.0e-05  20   1 30.417
1.0e-05  20   2  6.267
1.0e-05  20   5 61.800
1.0e-05  20  10 11.383
1.0e-05  20  20 72.683
1.0e-05  20  50 22.717
1.0e-05  20 100  4.033
1.0e-05  50   1 17.033
1.0e-05  50   2  4.917
1.0e-05  50   5 20.167
1.0e-05  50  10  6.383
1.0e-05  50  20 22.717
1.0e-05  50  50  6.667
1.0e-05  50 100 30.300
1.0e-05 100   1 10.117
1.0e-05 100   2 75.733
1.0e-05 100   5  5.800
1.0e-05 100  10 63.533
1.0e-05 100  20  4.033
1.0e-05 100  50 30.300
1.0e-05 100 100  2.617
1.0e-04   1   1 77.967
1.0e-04   1   2 59.267
1.0e-04   1   5 37.967
1.0e-04   1  10 30.417
1.0e-04   1  20 14.050
1.0e-04   1  50 16.083
1.0e-04   1 100  5.633
1.0e-04   2   1 59.267
1.0e-04   2   2 30.417
1.0e-04   2   5 16.083
1.0e-04   2  10  6.267
1.0e-04   2  20 70.600
1.0e-04   2  50 61.800
1.0e-04   2 100 30.583
1.0e-04   5   1 37.967
1.0e-04   5   2 16.083
1.0e-04   5   5 10.483
1.0e-04   5  10 61.800
1.0e-04   5  20 12.633
1.0e-04   5  50  5.017
1.0e-04   5 100 75.650
1.0e-04  10   1 30.417
1.0e-04  10   2  6.267
1.0e-04  10   5 61.800
1.0e-04  10  10 11.383
1.0e-04  10  20 72.683
1.0e-04  10  50 22.717
1.0e-04  10 100  4.033
1.0e-04  20   1 14.050
1.0e-04  20   2 70.600
1.0e-04  20   5 12.633
1.0e-04  20  10 72.683
1.0e-04  20  20 10.967
1.0e-04  20  50 75.417
1.0e-04  20 100  9.000
1.0e-04  50   1 16.083
1.0e-04  50   2 61.800
1.0e-04  50   5  5.017
1.0e-04  50  10 22.717
1.0e-04  50  20 75.417
1.0e-04  50  50  4.633
1.0e-04  50 100 64.317
1.0e-04 100   1  5.633
1.0e-04 100   2 30.583
1.0e-04 100   5 75.650
1.0e-04 100  10  4.033
1.0e-04 100  20  9.000
1.0e-04 100  50 64.317
1.0e-04 100 100  2.217
1.0e-03   1   1 76.700
1.0e-03   1   2 64.400
1.0e-03   1   5 30.633
1.0e-03   1  10 17.033
1.0e-03   1  20 16.083
1.0e-03   1  50 19.083
1.0e-03   1 100  4.300
1.0e-03   2   1 64.400
